customer_id,first_name,last_name,email,phone,home_club_id,membership_tier,member_since,lifetime_spend,total_visits,avg_basket_size,last_visit_date,spend_grocery,spend_fresh_produce,spend_meat_seafood,spend_bakery,spend_frozen_foods,spend_beverages,spend_household,spend_electronics,spend_health_beauty,spend_home_garden,spend_apparel,spend_gas_station
BJ-0100000,Alexander,Le,kayla51@example.com,(727)404-8281x48932,1004,Club,2025-11-28,285.42,3,95.14,2025-11-30,52.44,19.31,39.66,11.35,20.62,26.6,24.05,16.73,13.1,9.77,6.69,11.53
BJ-0100001,Alyssa,Smith,tracy15@example.com,403.491.1718,1001,Club,2023-10-01,10029.15,23,436.05,2026-01-14,2286.25,1112.98,1638.15,410.67,1107.53,1365.84,1157.2,1113.65,363.6,466.37,266.67,396.46
BJ-0100002,Frederick,Rose,ibrandt@example.net,001-734-265-7871x331,1007,Inner Circle,2021-12-21,27603.76,260,106.17,2026-01-19,7069.11,2473.3,3734.34,1460.63,2145.96,2816.19,4613.18,2704.66,1382.11,1126.35,869.31,1603.12
BJ-0100003,Jeffrey,Jones,perezrebecca@example.com,983-547-3829,1018,Club,2023-12-30,5000.47,34,147.07,2025-12-28,820.83,347.7,614.8,314.58,484.89,411.1,519.46,441.12,226.68,199.14,156.11,279.02
BJ-0100004,James,Davis,agomez@example.com,001-801-406-5133x3872,1010,Club,2024-12-22,1743.32,12,145.28,2026-01-15,271.58,105.46,270.6,65.94,193.64,165.76,194.58,106.57,96.75,77.41,54.69,79.99
BJ-0100005,Sandra,Ramos,williamsyvette@example.org,432-867-7360,1014,Inner Circle,2017-05-25,26175.12,631,41.48,2025-12-29,5260.27,1471.61,3280.66,1150.49,1548.11,3501.49,2907.62,2090.37,1674.08,855.14,1017.07,1137.5
BJ-0100006,Sara,Glover,rodney87@example.org,243.909.8050,1008,Club,2021-01-23,16143.13,83,194.5,2026-01-02,3817.37,1072.96,2111.66,930.91,1716.35,1638.74,2407.39,1055.47,653.26,689.22,541.17,922.29
BJ-0100007,Eric,Yu,yorkcasey@example.org,+1-736-619-3990x91699,1004,Inner Circle,2020-02-02,48614.1,240,202.56,2026-01-16,10256.55,3370.82,6355.03,2304.23,5001.6,5200.27,4205.32,5404.2,1827.91,2308.53,1467.29,2125.71
BJ-0100008,John,Foster,stephen10@example.com,+1-791-618-3842x513,1006,Club,2022-01-27,9376.95,84,111.63,2026-01-12,1933.39,994.69,1323.6,455.5,871.9,1271.14,935.59,804.37,405.23,486.84,338.9,591.1
BJ-0100009,Jade,Carr,contrerasangela@example.net,524-711-8244,1017,Club,2021-11-04,9532.14,82,116.25,2026-01-16,2382.71,654.08,974.56,530.21,766.57,1300.4,1086.57,939.25,528.16,281.47,217.07,401.4
BJ-0100010,Joseph,Freeman,davisrodney@example.com,2053242786,1011,Inner Circle,2016-07-01,34474.1,314,109.79,2026-01-10,6803.97,3673.94,5536.77,2133.47,3287.93,2690.59,3141.08,3553.82,1721.83,1400.96,1337.72,1956.41
BJ-0100011,Rebecca,Gardner,brandi26@example.org,8454053315,1009,Business,2018-08-28,48996.64,529,92.62,2026-01-17,7567.11,3187.05,6180.68,3300.93,3422.22,6261.31,5400.94,3484.36,3260.67,1436.72,1708.79,1788.91
BJ-0100012,Francisco,Marsh,nicolejohnson@example.net,563-542-1607x33754,1002,Club,2025-09-06,1045.36,6,174.23,2025-12-29,235.08,88.61,100.53,63.64,105.59,143.65,122.54,78.31,43.62,34.56,29.0,72.51
